"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"10"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"1.750"
"2023";"Trimestre 1";"Hurtos";"22.998"
"2023";"Trimestre 1";"Tráfico de drogas";"1.124"
"2023";"Trimestre 1";"Sustracciones de vehículos";"1.347"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"22"
"2023";"Trimestre 1";"Total";"97.406"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.977"
"2023";"Trimestre 1";"Agresión sexual con penetración";"128"
"2023";"Trimestre 2";"Secuestro";"20"
"2023";"Trimestre 2";"Tráfico de drogas";"2.528"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"3.600"
"2023";"Trimestre 2";"Sustracciones de vehículos";"2.909"
"2023";"Trimestre 2";"Total";"199.836"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"9.681"
"2023";"Trimestre 2";"Agresión sexual con penetración";"299"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"43"
"2023";"Trimestre 2";"Hurtos";"47.163"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"5.699"
"2023";"Trimestre 3";"Sustracciones de vehículos";"4.456"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"15.087"
"2023";"Trimestre 3";"Hurtos";"72.221"
"2023";"Trimestre 3";"Tráfico de drogas";"3.529"
"2023";"Trimestre 3";"Agresión sexual con penetración";"474"
"2023";"Trimestre 3";"Secuestro";"29"
"2023";"Trimestre 3";"Total";"308.078"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"62"
"2023";"Trimestre 4";"Tráfico de drogas";"4.790"
"2023";"Trimestre 4";"Agresión sexual con penetración";"602"
"2023";"Trimestre 4";"Sustracciones de vehículos";"5.957"
"2023";"Trimestre 4";"Total";"413.181"
"2023";"Trimestre 4";"Hurtos";"95.492"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"7.676"
"2023";"Trimestre 4";"Secuestro";"34"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"20.294"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"71"
"2024";"Trimestre 1";"Agresión sexual con penetración";"122"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"28"
"2024";"Trimestre 1";"Hurtos";"21.365"
"2024";"Trimestre 1";"Total";"99.318"
"2024";"Trimestre 1";"Sustracciones de vehículos";"1.527"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.793"
"2024";"Trimestre 1";"Secuestro";"10"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"1.823"
"2024";"Trimestre 1";"Tráfico de drogas";"1.048"
"2024";"Trimestre 2";"Agresión sexual con penetración";"296"
"2024";"Trimestre 2";"Sustracciones de vehículos";"2.971"
"2024";"Trimestre 2";"Secuestro";"16"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"9.237"
"2024";"Trimestre 2";"Tráfico de drogas";"2.302"
"2024";"Trimestre 2";"Hurtos";"45.667"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"51"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"3.748"
"2024";"Trimestre 2";"Total";"204.303"
"2024";"Trimestre 4";"Agresión sexual con penetración";"625"
"2024";"Trimestre 4";"Total";"409.698"
"2024";"Trimestre 4";"Tráfico de drogas";"4.343"
"2024";"Trimestre 4";"Sustracciones de vehículos";"6.075"
"2024";"Trimestre 4";"Secuestro";"27"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"7.423"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"80"
"2024";"Trimestre 4";"Hurtos";"92.545"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"18.231"
"2025";"Trimestre 1";"Total";"98.736"
"2025";"Trimestre 1";"Agresión sexual con penetración";"138"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"21"
"2025";"Trimestre 1";"Secuestro";"11"
"2025";"Trimestre 1";"Tráfico de drogas";"1.019"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"1.623"
"2025";"Trimestre 1";"Sustracciones de vehículos";"1.449"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.138"
"2025";"Trimestre 1";"Hurtos";"20.614"
"2025";"Trimestre 2";"Secuestro";"21"
"2025";"Trimestre 2";"Tráfico de drogas";"2.116"
"2025";"Trimestre 2";"Total";"205.221"
"2025";"Trimestre 2";"Sustracciones de vehículos";"2.930"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"3.464"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"46"
"2025";"Trimestre 2";"Agresión sexual con penetración";"299"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"7.925"
"2025";"Trimestre 2";"Hurtos";"43.262"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/andalucia/290"
"Titulo":"Estadística de crimen en Andalucía﻿ "
"Subtitulo":""
