"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"237"
"2023";"Trimestre 1";"Hurtos";"2.607"
"2023";"Trimestre 1";"Tráfico de drogas";"108"
"2023";"Trimestre 1";"Sustracciones de vehículos";"95"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 1";"Total";"12.187"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"766"
"2023";"Trimestre 1";"Agresión sexual con penetración";"22"
"2023";"Trimestre 2";"Secuestro";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"232"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"494"
"2023";"Trimestre 2";"Sustracciones de vehículos";"162"
"2023";"Trimestre 2";"Total";"24.126"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.317"
"2023";"Trimestre 2";"Agresión sexual con penetración";"47"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2023";"Trimestre 2";"Hurtos";"4.881"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"711"
"2023";"Trimestre 3";"Sustracciones de vehículos";"237"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.899"
"2023";"Trimestre 3";"Hurtos";"7.055"
"2023";"Trimestre 3";"Tráfico de drogas";"358"
"2023";"Trimestre 3";"Agresión sexual con penetración";"67"
"2023";"Trimestre 3";"Secuestro";"2"
"2023";"Trimestre 3";"Total";"34.832"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"7"
"2023";"Trimestre 4";"Tráfico de drogas";"552"
"2023";"Trimestre 4";"Agresión sexual con penetración";"92"
"2023";"Trimestre 4";"Sustracciones de vehículos";"318"
"2023";"Trimestre 4";"Total";"50.865"
"2023";"Trimestre 4";"Hurtos";"10.651"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"1.076"
"2023";"Trimestre 4";"Secuestro";"2"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.757"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"9"
"2024";"Trimestre 1";"Agresión sexual con penetración";"22"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 1";"Hurtos";"2.831"
"2024";"Trimestre 1";"Total";"12.899"
"2024";"Trimestre 1";"Sustracciones de vehículos";"84"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"766"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"264"
"2024";"Trimestre 1";"Tráfico de drogas";"87"
"2024";"Trimestre 2";"Agresión sexual con penetración";"48"
"2024";"Trimestre 2";"Sustracciones de vehículos";"157"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.334"
"2024";"Trimestre 2";"Tráfico de drogas";"218"
"2024";"Trimestre 2";"Hurtos";"5.647"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"601"
"2024";"Trimestre 2";"Total";"26.041"
"2024";"Trimestre 4";"Agresión sexual con penetración";"86"
"2024";"Trimestre 4";"Total";"53.626"
"2024";"Trimestre 4";"Tráfico de drogas";"494"
"2024";"Trimestre 4";"Sustracciones de vehículos";"282"
"2024";"Trimestre 4";"Secuestro";"0"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"1.392"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2024";"Trimestre 4";"Hurtos";"11.686"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.612"
"2025";"Trimestre 1";"Total";"13.155"
"2025";"Trimestre 1";"Agresión sexual con penetración";"22"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"121"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"295"
"2025";"Trimestre 1";"Sustracciones de vehículos";"77"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"546"
"2025";"Trimestre 1";"Hurtos";"2.972"
"2025";"Trimestre 2";"Secuestro";"1"
"2025";"Trimestre 2";"Tráfico de drogas";"230"
"2025";"Trimestre 2";"Total";"26.784"
"2025";"Trimestre 2";"Sustracciones de vehículos";"137"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"601"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2025";"Trimestre 2";"Agresión sexual con penetración";"44"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.048"
"2025";"Trimestre 2";"Hurtos";"5.750"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/aragon/291"
"Titulo":"Estadística de crimen en Aragón﻿ "
"Subtitulo":""
