"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"1"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"515"
"2023";"Trimestre 1";"Hurtos";"7.372"
"2023";"Trimestre 1";"Tráfico de drogas";"173"
"2023";"Trimestre 1";"Sustracciones de vehículos";"372"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 1";"Total";"25.810"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"945"
"2023";"Trimestre 1";"Agresión sexual con penetración";"47"
"2023";"Trimestre 2";"Secuestro";"2"
"2023";"Trimestre 2";"Tráfico de drogas";"414"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"951"
"2023";"Trimestre 2";"Sustracciones de vehículos";"736"
"2023";"Trimestre 2";"Total";"51.018"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.757"
"2023";"Trimestre 2";"Agresión sexual con penetración";"94"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"7"
"2023";"Trimestre 2";"Hurtos";"13.175"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"1.395"
"2023";"Trimestre 3";"Sustracciones de vehículos";"1.077"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.582"
"2023";"Trimestre 3";"Hurtos";"19.400"
"2023";"Trimestre 3";"Tráfico de drogas";"599"
"2023";"Trimestre 3";"Agresión sexual con penetración";"164"
"2023";"Trimestre 3";"Secuestro";"4"
"2023";"Trimestre 3";"Total";"77.190"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"15"
"2023";"Trimestre 4";"Tráfico de drogas";"764"
"2023";"Trimestre 4";"Agresión sexual con penetración";"220"
"2023";"Trimestre 4";"Sustracciones de vehículos";"1.451"
"2023";"Trimestre 4";"Total";"104.222"
"2023";"Trimestre 4";"Hurtos";"26.245"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"1.858"
"2023";"Trimestre 4";"Secuestro";"6"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.396"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"17"
"2024";"Trimestre 1";"Agresión sexual con penetración";"54"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2024";"Trimestre 1";"Hurtos";"8.648"
"2024";"Trimestre 1";"Total";"28.468"
"2024";"Trimestre 1";"Sustracciones de vehículos";"405"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"814"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"460"
"2024";"Trimestre 1";"Tráfico de drogas";"173"
"2024";"Trimestre 2";"Agresión sexual con penetración";"117"
"2024";"Trimestre 2";"Sustracciones de vehículos";"780"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.620"
"2024";"Trimestre 2";"Tráfico de drogas";"400"
"2024";"Trimestre 2";"Hurtos";"14.833"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"6"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"878"
"2024";"Trimestre 2";"Total";"54.644"
"2024";"Trimestre 4";"Agresión sexual con penetración";"242"
"2024";"Trimestre 4";"Total";"107.255"
"2024";"Trimestre 4";"Tráfico de drogas";"787"
"2024";"Trimestre 4";"Sustracciones de vehículos";"1.604"
"2024";"Trimestre 4";"Secuestro";"0"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"1.761"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"14"
"2024";"Trimestre 4";"Hurtos";"28.445"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.942"
"2025";"Trimestre 1";"Total";"27.381"
"2025";"Trimestre 1";"Agresión sexual con penetración";"60"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"10"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"210"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"495"
"2025";"Trimestre 1";"Sustracciones de vehículos";"346"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"724"
"2025";"Trimestre 1";"Hurtos";"8.215"
"2025";"Trimestre 2";"Secuestro";"2"
"2025";"Trimestre 2";"Tráfico de drogas";"439"
"2025";"Trimestre 2";"Total";"55.156"
"2025";"Trimestre 2";"Sustracciones de vehículos";"702"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"1.001"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"20"
"2025";"Trimestre 2";"Agresión sexual con penetración";"99"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.491"
"2025";"Trimestre 2";"Hurtos";"14.914"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/canarias/293"
"Titulo":"Estadística de crimen en Canarias﻿ "
"Subtitulo":""
