"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"61"
"2023";"Trimestre 1";"Hurtos";"1.078"
"2023";"Trimestre 1";"Tráfico de drogas";"34"
"2023";"Trimestre 1";"Sustracciones de vehículos";"26"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 1";"Total";"5.588"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"453"
"2023";"Trimestre 1";"Agresión sexual con penetración";"6"
"2023";"Trimestre 2";"Secuestro";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"69"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"107"
"2023";"Trimestre 2";"Sustracciones de vehículos";"56"
"2023";"Trimestre 2";"Total";"11.445"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"839"
"2023";"Trimestre 2";"Agresión sexual con penetración";"15"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 2";"Hurtos";"2.269"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"179"
"2023";"Trimestre 3";"Sustracciones de vehículos";"93"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.285"
"2023";"Trimestre 3";"Hurtos";"3.785"
"2023";"Trimestre 3";"Tráfico de drogas";"91"
"2023";"Trimestre 3";"Agresión sexual con penetración";"25"
"2023";"Trimestre 3";"Secuestro";"0"
"2023";"Trimestre 3";"Total";"18.299"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 4";"Tráfico de drogas";"114"
"2023";"Trimestre 4";"Agresión sexual con penetración";"34"
"2023";"Trimestre 4";"Sustracciones de vehículos";"116"
"2023";"Trimestre 4";"Total";"24.212"
"2023";"Trimestre 4";"Hurtos";"4.831"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"255"
"2023";"Trimestre 4";"Secuestro";"0"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.783"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"0"
"2024";"Trimestre 1";"Agresión sexual con penetración";"10"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 1";"Hurtos";"1.100"
"2024";"Trimestre 1";"Total";"6.187"
"2024";"Trimestre 1";"Sustracciones de vehículos";"53"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"480"
"2024";"Trimestre 1";"Secuestro";"1"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"51"
"2024";"Trimestre 1";"Tráfico de drogas";"28"
"2024";"Trimestre 2";"Agresión sexual con penetración";"25"
"2024";"Trimestre 2";"Sustracciones de vehículos";"100"
"2024";"Trimestre 2";"Secuestro";"1"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"853"
"2024";"Trimestre 2";"Tráfico de drogas";"53"
"2024";"Trimestre 2";"Hurtos";"2.311"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"99"
"2024";"Trimestre 2";"Total";"12.291"
"2024";"Trimestre 4";"Agresión sexual con penetración";"43"
"2024";"Trimestre 4";"Total";"24.788"
"2024";"Trimestre 4";"Tráfico de drogas";"76"
"2024";"Trimestre 4";"Sustracciones de vehículos";"168"
"2024";"Trimestre 4";"Secuestro";"1"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"244"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 4";"Hurtos";"4.711"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.580"
"2025";"Trimestre 1";"Total";"6.140"
"2025";"Trimestre 1";"Agresión sexual con penetración";"10"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"21"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"46"
"2025";"Trimestre 1";"Sustracciones de vehículos";"39"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"414"
"2025";"Trimestre 1";"Hurtos";"1.122"
"2025";"Trimestre 2";"Secuestro";"0"
"2025";"Trimestre 2";"Tráfico de drogas";"33"
"2025";"Trimestre 2";"Total";"12.367"
"2025";"Trimestre 2";"Sustracciones de vehículos";"62"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"108"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2025";"Trimestre 2";"Agresión sexual con penetración";"23"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"680"
"2025";"Trimestre 2";"Hurtos";"2.329"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/cantabria/294"
"Titulo":"Estadística de crimen en Cantabria﻿ "
"Subtitulo":""
