"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"1"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"206"
"2023";"Trimestre 1";"Hurtos";"3.478"
"2023";"Trimestre 1";"Tráfico de drogas";"133"
"2023";"Trimestre 1";"Sustracciones de vehículos";"140"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"8"
"2023";"Trimestre 1";"Total";"19.883"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.279"
"2023";"Trimestre 1";"Agresión sexual con penetración";"29"
"2023";"Trimestre 2";"Secuestro";"1"
"2023";"Trimestre 2";"Tráfico de drogas";"308"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"397"
"2023";"Trimestre 2";"Sustracciones de vehículos";"275"
"2023";"Trimestre 2";"Total";"40.159"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.342"
"2023";"Trimestre 2";"Agresión sexual con penetración";"63"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"9"
"2023";"Trimestre 2";"Hurtos";"7.171"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"657"
"2023";"Trimestre 3";"Sustracciones de vehículos";"456"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.546"
"2023";"Trimestre 3";"Hurtos";"11.105"
"2023";"Trimestre 3";"Tráfico de drogas";"445"
"2023";"Trimestre 3";"Agresión sexual con penetración";"100"
"2023";"Trimestre 3";"Secuestro";"1"
"2023";"Trimestre 3";"Total";"61.892"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"12"
"2023";"Trimestre 4";"Tráfico de drogas";"595"
"2023";"Trimestre 4";"Agresión sexual con penetración";"133"
"2023";"Trimestre 4";"Sustracciones de vehículos";"645"
"2023";"Trimestre 4";"Total";"83.708"
"2023";"Trimestre 4";"Hurtos";"14.785"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"926"
"2023";"Trimestre 4";"Secuestro";"3"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.034"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"15"
"2024";"Trimestre 1";"Agresión sexual con penetración";"21"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2024";"Trimestre 1";"Hurtos";"3.694"
"2024";"Trimestre 1";"Total";"20.843"
"2024";"Trimestre 1";"Sustracciones de vehículos";"181"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.491"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"225"
"2024";"Trimestre 1";"Tráfico de drogas";"132"
"2024";"Trimestre 2";"Agresión sexual con penetración";"49"
"2024";"Trimestre 2";"Sustracciones de vehículos";"382"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.598"
"2024";"Trimestre 2";"Tráfico de drogas";"301"
"2024";"Trimestre 2";"Hurtos";"7.175"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"7"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"459"
"2024";"Trimestre 2";"Total";"41.162"
"2024";"Trimestre 4";"Agresión sexual con penetración";"120"
"2024";"Trimestre 4";"Total";"83.582"
"2024";"Trimestre 4";"Tráfico de drogas";"562"
"2024";"Trimestre 4";"Sustracciones de vehículos";"753"
"2024";"Trimestre 4";"Secuestro";"0"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"949"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"13"
"2024";"Trimestre 4";"Hurtos";"14.396"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.109"
"2025";"Trimestre 1";"Total";"20.726"
"2025";"Trimestre 1";"Agresión sexual con penetración";"37"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2025";"Trimestre 1";"Secuestro";"1"
"2025";"Trimestre 1";"Tráfico de drogas";"121"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"209"
"2025";"Trimestre 1";"Sustracciones de vehículos";"176"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.252"
"2025";"Trimestre 1";"Hurtos";"3.525"
"2025";"Trimestre 2";"Secuestro";"1"
"2025";"Trimestre 2";"Tráfico de drogas";"266"
"2025";"Trimestre 2";"Total";"42.155"
"2025";"Trimestre 2";"Sustracciones de vehículos";"348"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"438"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"4"
"2025";"Trimestre 2";"Agresión sexual con penetración";"68"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.246"
"2025";"Trimestre 2";"Hurtos";"6.909"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/castilla-mancha/296"
"Titulo":"Estadística de crimen en Castilla - La Mancha﻿ "
"Subtitulo":""
