"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"185"
"2023";"Trimestre 1";"Hurtos";"4.307"
"2023";"Trimestre 1";"Tráfico de drogas";"115"
"2023";"Trimestre 1";"Sustracciones de vehículos";"121"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 1";"Total";"21.110"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.115"
"2023";"Trimestre 1";"Agresión sexual con penetración";"29"
"2023";"Trimestre 2";"Secuestro";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"229"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"383"
"2023";"Trimestre 2";"Sustracciones de vehículos";"226"
"2023";"Trimestre 2";"Total";"43.051"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.052"
"2023";"Trimestre 2";"Agresión sexual con penetración";"62"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2023";"Trimestre 2";"Hurtos";"8.657"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"573"
"2023";"Trimestre 3";"Sustracciones de vehículos";"347"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.997"
"2023";"Trimestre 3";"Hurtos";"12.845"
"2023";"Trimestre 3";"Tráfico de drogas";"358"
"2023";"Trimestre 3";"Agresión sexual con penetración";"112"
"2023";"Trimestre 3";"Secuestro";"0"
"2023";"Trimestre 3";"Total";"65.544"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"9"
"2023";"Trimestre 4";"Tráfico de drogas";"492"
"2023";"Trimestre 4";"Agresión sexual con penetración";"141"
"2023";"Trimestre 4";"Sustracciones de vehículos";"485"
"2023";"Trimestre 4";"Total";"89.824"
"2023";"Trimestre 4";"Hurtos";"17.611"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"817"
"2023";"Trimestre 4";"Secuestro";"0"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.169"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"10"
"2024";"Trimestre 1";"Agresión sexual con penetración";"38"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2024";"Trimestre 1";"Hurtos";"4.168"
"2024";"Trimestre 1";"Total";"22.210"
"2024";"Trimestre 1";"Sustracciones de vehículos";"111"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.104"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"215"
"2024";"Trimestre 1";"Tráfico de drogas";"95"
"2024";"Trimestre 2";"Agresión sexual con penetración";"71"
"2024";"Trimestre 2";"Sustracciones de vehículos";"271"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.042"
"2024";"Trimestre 2";"Tráfico de drogas";"210"
"2024";"Trimestre 2";"Hurtos";"8.523"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"365"
"2024";"Trimestre 2";"Total";"44.610"
"2024";"Trimestre 4";"Agresión sexual con penetración";"140"
"2024";"Trimestre 4";"Total";"91.627"
"2024";"Trimestre 4";"Tráfico de drogas";"410"
"2024";"Trimestre 4";"Sustracciones de vehículos";"550"
"2024";"Trimestre 4";"Secuestro";"2"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"763"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"12"
"2024";"Trimestre 4";"Hurtos";"17.407"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.348"
"2025";"Trimestre 1";"Total";"23.315"
"2025";"Trimestre 1";"Agresión sexual con penetración";"37"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"4"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"108"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"194"
"2025";"Trimestre 1";"Sustracciones de vehículos";"124"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.113"
"2025";"Trimestre 1";"Hurtos";"4.361"
"2025";"Trimestre 2";"Secuestro";"0"
"2025";"Trimestre 2";"Tráfico de drogas";"194"
"2025";"Trimestre 2";"Total";"47.207"
"2025";"Trimestre 2";"Sustracciones de vehículos";"230"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"364"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2025";"Trimestre 2";"Agresión sexual con penetración";"72"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.994"
"2025";"Trimestre 2";"Hurtos";"8.738"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/castilla-leon/295"
"Titulo":"Estadística de crimen en Castilla y León﻿ "
"Subtitulo":""
