"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"2"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"6.053"
"2023";"Trimestre 1";"Hurtos";"41.947"
"2023";"Trimestre 1";"Tráfico de drogas";"1.074"
"2023";"Trimestre 1";"Sustracciones de vehículos";"2.015"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"18"
"2023";"Trimestre 1";"Total";"120.660"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"7.430"
"2023";"Trimestre 1";"Agresión sexual con penetración";"328"
"2023";"Trimestre 2";"Secuestro";"4"
"2023";"Trimestre 2";"Tráfico de drogas";"2.208"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"12.142"
"2023";"Trimestre 2";"Sustracciones de vehículos";"4.099"
"2023";"Trimestre 2";"Total";"243.690"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"13.583"
"2023";"Trimestre 2";"Agresión sexual con penetración";"761"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"42"
"2023";"Trimestre 2";"Hurtos";"83.278"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"18.975"
"2023";"Trimestre 3";"Sustracciones de vehículos";"6.288"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"20.413"
"2023";"Trimestre 3";"Hurtos";"128.562"
"2023";"Trimestre 3";"Tráfico de drogas";"3.281"
"2023";"Trimestre 3";"Agresión sexual con penetración";"1.213"
"2023";"Trimestre 3";"Secuestro";"7"
"2023";"Trimestre 3";"Total";"377.723"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"52"
"2023";"Trimestre 4";"Tráfico de drogas";"4.368"
"2023";"Trimestre 4";"Agresión sexual con penetración";"1.588"
"2023";"Trimestre 4";"Sustracciones de vehículos";"8.466"
"2023";"Trimestre 4";"Total";"510.172"
"2023";"Trimestre 4";"Hurtos";"170.164"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"25.421"
"2023";"Trimestre 4";"Secuestro";"11"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"27.372"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"71"
"2024";"Trimestre 1";"Agresión sexual con penetración";"332"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"18"
"2024";"Trimestre 1";"Hurtos";"39.584"
"2024";"Trimestre 1";"Total";"126.843"
"2024";"Trimestre 1";"Sustracciones de vehículos";"1.888"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.710"
"2024";"Trimestre 1";"Secuestro";"2"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"5.854"
"2024";"Trimestre 1";"Tráfico de drogas";"1.194"
"2024";"Trimestre 2";"Agresión sexual con penetración";"741"
"2024";"Trimestre 2";"Sustracciones de vehículos";"4.130"
"2024";"Trimestre 2";"Secuestro";"6"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"12.820"
"2024";"Trimestre 2";"Tráfico de drogas";"2.450"
"2024";"Trimestre 2";"Hurtos";"82.245"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"44"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"12.032"
"2024";"Trimestre 2";"Total";"254.984"
"2024";"Trimestre 4";"Agresión sexual con penetración";"1.742"
"2024";"Trimestre 4";"Total";"510.052"
"2024";"Trimestre 4";"Tráfico de drogas";"4.642"
"2024";"Trimestre 4";"Sustracciones de vehículos";"8.543"
"2024";"Trimestre 4";"Secuestro";"14"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"24.733"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"69"
"2024";"Trimestre 4";"Hurtos";"168.500"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"25.324"
"2025";"Trimestre 1";"Total";"119.169"
"2025";"Trimestre 1";"Agresión sexual con penetración";"421"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"15"
"2025";"Trimestre 1";"Secuestro";"1"
"2025";"Trimestre 1";"Tráfico de drogas";"1.270"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"5.287"
"2025";"Trimestre 1";"Sustracciones de vehículos";"2.005"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.673"
"2025";"Trimestre 1";"Hurtos";"39.540"
"2025";"Trimestre 2";"Secuestro";"6"
"2025";"Trimestre 2";"Tráfico de drogas";"2.657"
"2025";"Trimestre 2";"Total";"243.582"
"2025";"Trimestre 2";"Sustracciones de vehículos";"4.105"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"11.771"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"24"
"2025";"Trimestre 2";"Agresión sexual con penetración";"904"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"10.797"
"2025";"Trimestre 2";"Hurtos";"80.490"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/cataluna/297"
"Titulo":"Estadística de crimen en Cataluña﻿ "
"Subtitulo":""
