"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2021";"Trimestre 1";"Hurtos";"69"
"2021";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2021";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"18"
"2021";"Trimestre 1";"Secuestro";"0"
"2021";"Trimestre 1";"Tráfico de drogas";"44"
"2021";"Trimestre 1";"Agresión sexual con penetración";"0"
"2021";"Trimestre 1";"Total";"839"
"2021";"Trimestre 1";"Robos con violencia e intimidación";"37"
"2021";"Trimestre 1";"Sustracciones de vehículos";"29"
"2021";"Trimestre 2";"Agresión sexual con penetración";"0"
"2021";"Trimestre 2";"Tráfico de drogas";"96"
"2021";"Trimestre 2";"Hurtos";"189"
"2021";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"34"
"2021";"Trimestre 2";"Total";"1.823"
"2021";"Trimestre 2";"Sustracciones de vehículos";"49"
"2021";"Trimestre 2";"Robos con violencia e intimidación";"94"
"2021";"Trimestre 2";"Secuestro";"0"
"2021";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2021";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"46"
"2021";"Trimestre 3";"Robos con violencia e intimidación";"150"
"2021";"Trimestre 3";"Hurtos";"312"
"2021";"Trimestre 3";"Tráfico de drogas";"160"
"2021";"Trimestre 3";"Agresión sexual con penetración";"3"
"2021";"Trimestre 3";"Total";"2.902"
"2021";"Trimestre 3";"Sustracciones de vehículos";"74"
"2021";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"1"
"2021";"Trimestre 3";"Secuestro";"2"
"2021";"Trimestre 4";"Robos con violencia e intimidación";"195"
"2021";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"59"
"2021";"Trimestre 4";"Hurtos";"434"
"2021";"Trimestre 4";"Secuestro";"3"
"2021";"Trimestre 4";"Sustracciones de vehículos";"103"
"2021";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"2"
"2021";"Trimestre 4";"Agresión sexual con penetración";"4"
"2021";"Trimestre 4";"Total";"3.916"
"2021";"Trimestre 4";"Tráfico de drogas";"205"
"2022";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2022";"Trimestre 1";"Secuestro";"0"
"2022";"Trimestre 1";"Total";"891"
"2022";"Trimestre 1";"Sustracciones de vehículos";"24"
"2022";"Trimestre 1";"Tráfico de drogas";"39"
"2022";"Trimestre 1";"Hurtos";"95"
"2022";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"17"
"2022";"Trimestre 1";"Agresión sexual con penetración";"0"
"2022";"Trimestre 1";"Robos con violencia e intimidación";"33"
"2022";"Trimestre 2";"Tráfico de drogas";"65"
"2022";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2022";"Trimestre 2";"Hurtos";"194"
"2022";"Trimestre 2";"Agresión sexual con penetración";"1"
"2022";"Trimestre 2";"Total";"1.812"
"2022";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"28"
"2022";"Trimestre 3";"Tráfico de drogas";"78"
"2022";"Trimestre 3";"Robos con violencia e intimidación";"68"
"2022";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"2"
"2022";"Trimestre 3";"Secuestro";"0"
"2022";"Trimestre 3";"Sustracciones de vehículos";"77"
"2022";"Trimestre 3";"Agresión sexual con penetración";"1"
"2022";"Trimestre 3";"Total";"2.494"
"2022";"Trimestre 3";"Hurtos";"277"
"2022";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"33"
"2022";"Trimestre 4";"Secuestro";"1"
"2022";"Trimestre 4";"Agresión sexual con penetración";"3"
"2022";"Trimestre 4";"Sustracciones de vehículos";"107"
"2022";"Trimestre 4";"Hurtos";"431"
"2022";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"45"
"2022";"Trimestre 4";"Robos con violencia e intimidación";"107"
"2022";"Trimestre 4";"Tráfico de drogas";"115"
"2022";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"4"
"2023";"Trimestre 2";"Hurtos";"255"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"21"
"2023";"Trimestre 2";"Agresión sexual con penetración";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"54"
"2023";"Trimestre 2";"Total";"1.699"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/ceuta/298"
"Titulo":"Estadística de crimen en Ceuta﻿ "
"Subtitulo":""
