"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"9"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"3.042"
"2023";"Trimestre 1";"Hurtos";"33.890"
"2023";"Trimestre 1";"Tráfico de drogas";"805"
"2023";"Trimestre 1";"Sustracciones de vehículos";"1.861"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"8"
"2023";"Trimestre 1";"Total";"103.091"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.563"
"2023";"Trimestre 1";"Agresión sexual con penetración";"143"
"2023";"Trimestre 2";"Secuestro";"13"
"2023";"Trimestre 2";"Tráfico de drogas";"1.689"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"6.054"
"2023";"Trimestre 2";"Sustracciones de vehículos";"3.573"
"2023";"Trimestre 2";"Total";"203.864"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.888"
"2023";"Trimestre 2";"Agresión sexual con penetración";"310"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"17"
"2023";"Trimestre 2";"Hurtos";"65.595"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"9.159"
"2023";"Trimestre 3";"Sustracciones de vehículos";"5.235"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"10.655"
"2023";"Trimestre 3";"Hurtos";"93.996"
"2023";"Trimestre 3";"Tráfico de drogas";"2.570"
"2023";"Trimestre 3";"Agresión sexual con penetración";"481"
"2023";"Trimestre 3";"Secuestro";"17"
"2023";"Trimestre 3";"Total";"303.465"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"28"
"2023";"Trimestre 4";"Tráfico de drogas";"3.389"
"2023";"Trimestre 4";"Agresión sexual con penetración";"648"
"2023";"Trimestre 4";"Sustracciones de vehículos";"7.061"
"2023";"Trimestre 4";"Total";"411.782"
"2023";"Trimestre 4";"Hurtos";"128.366"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"12.015"
"2023";"Trimestre 4";"Secuestro";"19"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"14.557"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"33"
"2024";"Trimestre 1";"Agresión sexual con penetración";"184"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2024";"Trimestre 1";"Hurtos";"31.625"
"2024";"Trimestre 1";"Total";"102.730"
"2024";"Trimestre 1";"Sustracciones de vehículos";"1.891"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.667"
"2024";"Trimestre 1";"Secuestro";"5"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"2.769"
"2024";"Trimestre 1";"Tráfico de drogas";"806"
"2024";"Trimestre 2";"Agresión sexual con penetración";"359"
"2024";"Trimestre 2";"Sustracciones de vehículos";"3.592"
"2024";"Trimestre 2";"Secuestro";"8"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.652"
"2024";"Trimestre 2";"Tráfico de drogas";"1.824"
"2024";"Trimestre 2";"Hurtos";"62.131"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"10"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"5.728"
"2024";"Trimestre 2";"Total";"203.997"
"2024";"Trimestre 4";"Agresión sexual con penetración";"664"
"2024";"Trimestre 4";"Total";"399.972"
"2024";"Trimestre 4";"Tráfico de drogas";"3.842"
"2024";"Trimestre 4";"Sustracciones de vehículos";"6.987"
"2024";"Trimestre 4";"Secuestro";"16"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"11.282"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"23"
"2024";"Trimestre 4";"Hurtos";"117.462"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"13.482"
"2025";"Trimestre 1";"Total";"99.137"
"2025";"Trimestre 1";"Agresión sexual con penetración";"168"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2025";"Trimestre 1";"Secuestro";"4"
"2025";"Trimestre 1";"Tráfico de drogas";"960"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"2.340"
"2025";"Trimestre 1";"Sustracciones de vehículos";"1.670"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.031"
"2025";"Trimestre 1";"Hurtos";"28.672"
"2025";"Trimestre 2";"Secuestro";"5"
"2025";"Trimestre 2";"Tráfico de drogas";"2.026"
"2025";"Trimestre 2";"Total";"198.433"
"2025";"Trimestre 2";"Sustracciones de vehículos";"3.328"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"4.965"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"18"
"2025";"Trimestre 2";"Agresión sexual con penetración";"352"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.936"
"2025";"Trimestre 2";"Hurtos";"56.835"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
