"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"98"
"2023";"Trimestre 1";"Hurtos";"1.687"
"2023";"Trimestre 1";"Tráfico de drogas";"35"
"2023";"Trimestre 1";"Sustracciones de vehículos";"40"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2023";"Trimestre 1";"Total";"8.065"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"415"
"2023";"Trimestre 1";"Agresión sexual con penetración";"19"
"2023";"Trimestre 2";"Secuestro";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"73"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"192"
"2023";"Trimestre 2";"Sustracciones de vehículos";"75"
"2023";"Trimestre 2";"Total";"16.159"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"744"
"2023";"Trimestre 2";"Agresión sexual con penetración";"42"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2023";"Trimestre 2";"Hurtos";"3.400"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"360"
"2023";"Trimestre 3";"Sustracciones de vehículos";"111"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.104"
"2023";"Trimestre 3";"Hurtos";"6.851"
"2023";"Trimestre 3";"Tráfico de drogas";"124"
"2023";"Trimestre 3";"Agresión sexual con penetración";"61"
"2023";"Trimestre 3";"Secuestro";"0"
"2023";"Trimestre 3";"Total";"26.318"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 4";"Tráfico de drogas";"158"
"2023";"Trimestre 4";"Agresión sexual con penetración";"81"
"2023";"Trimestre 4";"Sustracciones de vehículos";"154"
"2023";"Trimestre 4";"Total";"35.094"
"2023";"Trimestre 4";"Hurtos";"8.661"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"467"
"2023";"Trimestre 4";"Secuestro";"0"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.508"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"6"
"2024";"Trimestre 1";"Agresión sexual con penetración";"10"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2024";"Trimestre 1";"Hurtos";"1.585"
"2024";"Trimestre 1";"Total";"8.421"
"2024";"Trimestre 1";"Sustracciones de vehículos";"32"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"366"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"89"
"2024";"Trimestre 1";"Tráfico de drogas";"50"
"2024";"Trimestre 2";"Agresión sexual con penetración";"25"
"2024";"Trimestre 2";"Sustracciones de vehículos";"72"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"649"
"2024";"Trimestre 2";"Tráfico de drogas";"95"
"2024";"Trimestre 2";"Hurtos";"3.329"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"176"
"2024";"Trimestre 2";"Total";"16.869"
"2024";"Trimestre 4";"Agresión sexual con penetración";"71"
"2024";"Trimestre 4";"Total";"35.866"
"2024";"Trimestre 4";"Tráfico de drogas";"226"
"2024";"Trimestre 4";"Sustracciones de vehículos";"169"
"2024";"Trimestre 4";"Secuestro";"0"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"471"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"4"
"2024";"Trimestre 4";"Hurtos";"8.276"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.464"
"2025";"Trimestre 1";"Total";"8.255"
"2025";"Trimestre 1";"Agresión sexual con penetración";"14"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2025";"Trimestre 1";"Secuestro";"1"
"2025";"Trimestre 1";"Tráfico de drogas";"44"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"111"
"2025";"Trimestre 1";"Sustracciones de vehículos";"44"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"322"
"2025";"Trimestre 1";"Hurtos";"1.715"
"2025";"Trimestre 2";"Secuestro";"1"
"2025";"Trimestre 2";"Tráfico de drogas";"80"
"2025";"Trimestre 2";"Total";"16.832"
"2025";"Trimestre 2";"Sustracciones de vehículos";"93"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"246"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2025";"Trimestre 2";"Agresión sexual con penetración";"37"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"593"
"2025";"Trimestre 2";"Hurtos";"3.499"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/navarra/307"
"Titulo":"Estadística de crimen en Comunidad Foral de Navarra﻿ "
"Subtitulo":""
