"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"3"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"1.468"
"2023";"Trimestre 1";"Hurtos";"18.216"
"2023";"Trimestre 1";"Tráfico de drogas";"606"
"2023";"Trimestre 1";"Sustracciones de vehículos";"741"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"8"
"2023";"Trimestre 1";"Total";"67.766"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.858"
"2023";"Trimestre 1";"Agresión sexual con penetración";"87"
"2023";"Trimestre 2";"Secuestro";"7"
"2023";"Trimestre 2";"Tráfico de drogas";"1.285"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"2.978"
"2023";"Trimestre 2";"Sustracciones de vehículos";"1.489"
"2023";"Trimestre 2";"Total";"138.287"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"9.041"
"2023";"Trimestre 2";"Agresión sexual con penetración";"204"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"16"
"2023";"Trimestre 2";"Hurtos";"36.656"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"4.515"
"2023";"Trimestre 3";"Sustracciones de vehículos";"2.310"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"13.529"
"2023";"Trimestre 3";"Hurtos";"58.226"
"2023";"Trimestre 3";"Tráfico de drogas";"1.897"
"2023";"Trimestre 3";"Agresión sexual con penetración";"348"
"2023";"Trimestre 3";"Secuestro";"10"
"2023";"Trimestre 3";"Total";"213.529"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"31"
"2023";"Trimestre 4";"Tráfico de drogas";"2.566"
"2023";"Trimestre 4";"Agresión sexual con penetración";"472"
"2023";"Trimestre 4";"Sustracciones de vehículos";"3.258"
"2023";"Trimestre 4";"Total";"287.379"
"2023";"Trimestre 4";"Hurtos";"77.573"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"6.170"
"2023";"Trimestre 4";"Secuestro";"16"
