"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"93"
"2023";"Trimestre 1";"Hurtos";"1.780"
"2023";"Trimestre 1";"Tráfico de drogas";"95"
"2023";"Trimestre 1";"Sustracciones de vehículos";"42"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 1";"Total";"8.605"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"470"
"2023";"Trimestre 1";"Agresión sexual con penetración";"13"
"2023";"Trimestre 2";"Secuestro";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"170"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"161"
"2023";"Trimestre 2";"Sustracciones de vehículos";"89"
"2023";"Trimestre 2";"Total";"17.080"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"911"
"2023";"Trimestre 2";"Agresión sexual con penetración";"20"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 2";"Hurtos";"3.417"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"227"
"2023";"Trimestre 3";"Sustracciones de vehículos";"127"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.330"
"2023";"Trimestre 3";"Hurtos";"5.040"
"2023";"Trimestre 3";"Tráfico de drogas";"245"
"2023";"Trimestre 3";"Agresión sexual con penetración";"32"
"2023";"Trimestre 3";"Secuestro";"0"
"2023";"Trimestre 3";"Total";"25.993"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"1"
"2023";"Trimestre 4";"Tráfico de drogas";"315"
"2023";"Trimestre 4";"Agresión sexual con penetración";"44"
"2023";"Trimestre 4";"Sustracciones de vehículos";"195"
"2023";"Trimestre 4";"Total";"35.269"
"2023";"Trimestre 4";"Hurtos";"6.793"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"312"
"2023";"Trimestre 4";"Secuestro";"0"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.864"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"4"
"2024";"Trimestre 1";"Agresión sexual con penetración";"27"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2024";"Trimestre 1";"Hurtos";"1.698"
"2024";"Trimestre 1";"Total";"8.643"
"2024";"Trimestre 1";"Sustracciones de vehículos";"44"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"528"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"67"
"2024";"Trimestre 1";"Tráfico de drogas";"70"
"2024";"Trimestre 2";"Agresión sexual con penetración";"40"
"2024";"Trimestre 2";"Sustracciones de vehículos";"82"
"2024";"Trimestre 2";"Secuestro";"1"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"894"
"2024";"Trimestre 2";"Tráfico de drogas";"171"
"2024";"Trimestre 2";"Hurtos";"3.256"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"143"
"2024";"Trimestre 2";"Total";"17.241"
"2024";"Trimestre 4";"Agresión sexual con penetración";"56"
"2024";"Trimestre 4";"Total";"34.643"
"2024";"Trimestre 4";"Tráfico de drogas";"272"
"2024";"Trimestre 4";"Sustracciones de vehículos";"170"
"2024";"Trimestre 4";"Secuestro";"1"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"287"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"7"
"2024";"Trimestre 4";"Hurtos";"6.300"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.765"
"2025";"Trimestre 1";"Total";"8.768"
"2025";"Trimestre 1";"Agresión sexual con penetración";"16"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"71"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"86"
"2025";"Trimestre 1";"Sustracciones de vehículos";"43"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"409"
"2025";"Trimestre 1";"Hurtos";"1.546"
"2025";"Trimestre 2";"Secuestro";"0"
"2025";"Trimestre 2";"Tráfico de drogas";"132"
"2025";"Trimestre 2";"Total";"17.901"
"2025";"Trimestre 2";"Sustracciones de vehículos";"91"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"166"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2025";"Trimestre 2";"Agresión sexual con penetración";"39"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"800"
"2025";"Trimestre 2";"Hurtos";"3.037"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/extremadura/300"
"Titulo":"Estadística de crimen en Extremadura﻿ "
"Subtitulo":""
