"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"2"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"256"
"2023";"Trimestre 1";"Hurtos";"4.890"
"2023";"Trimestre 1";"Tráfico de drogas";"120"
"2023";"Trimestre 1";"Sustracciones de vehículos";"137"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 1";"Total";"22.349"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.226"
"2023";"Trimestre 1";"Agresión sexual con penetración";"43"
"2023";"Trimestre 2";"Secuestro";"2"
"2023";"Trimestre 2";"Tráfico de drogas";"265"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"493"
"2023";"Trimestre 2";"Sustracciones de vehículos";"293"
"2023";"Trimestre 2";"Total";"45.902"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.246"
"2023";"Trimestre 2";"Agresión sexual con penetración";"89"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"9"
"2023";"Trimestre 2";"Hurtos";"9.831"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"786"
"2023";"Trimestre 3";"Sustracciones de vehículos";"437"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.450"
"2023";"Trimestre 3";"Hurtos";"15.576"
"2023";"Trimestre 3";"Tráfico de drogas";"378"
"2023";"Trimestre 3";"Agresión sexual con penetración";"142"
"2023";"Trimestre 3";"Secuestro";"3"
"2023";"Trimestre 3";"Total";"71.480"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"12"
"2023";"Trimestre 4";"Tráfico de drogas";"488"
"2023";"Trimestre 4";"Agresión sexual con penetración";"201"
"2023";"Trimestre 4";"Sustracciones de vehículos";"580"
"2023";"Trimestre 4";"Total";"94.800"
"2023";"Trimestre 4";"Hurtos";"20.300"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"1.049"
"2023";"Trimestre 4";"Secuestro";"4"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.702"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"18"
"2024";"Trimestre 1";"Agresión sexual con penetración";"55"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2024";"Trimestre 1";"Hurtos";"4.799"
"2024";"Trimestre 1";"Total";"23.082"
"2024";"Trimestre 1";"Sustracciones de vehículos";"134"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.206"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"241"
"2024";"Trimestre 1";"Tráfico de drogas";"124"
"2024";"Trimestre 2";"Agresión sexual con penetración";"96"
"2024";"Trimestre 2";"Sustracciones de vehículos";"257"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.280"
"2024";"Trimestre 2";"Tráfico de drogas";"248"
"2024";"Trimestre 2";"Hurtos";"9.668"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"498"
"2024";"Trimestre 2";"Total";"46.548"
"2024";"Trimestre 4";"Agresión sexual con penetración";"180"
"2024";"Trimestre 4";"Total";"95.405"
"2024";"Trimestre 4";"Tráfico de drogas";"483"
"2024";"Trimestre 4";"Sustracciones de vehículos";"540"
"2024";"Trimestre 4";"Secuestro";"5"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"1.001"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"18"
"2024";"Trimestre 4";"Hurtos";"19.622"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.358"
"2025";"Trimestre 1";"Total";"23.308"
"2025";"Trimestre 1";"Agresión sexual con penetración";"42"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"113"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"227"
"2025";"Trimestre 1";"Sustracciones de vehículos";"137"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"981"
"2025";"Trimestre 1";"Hurtos";"4.568"
"2025";"Trimestre 2";"Secuestro";"0"
"2025";"Trimestre 2";"Tráfico de drogas";"234"
"2025";"Trimestre 2";"Total";"47.459"
"2025";"Trimestre 2";"Sustracciones de vehículos";"249"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"456"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 2";"Agresión sexual con penetración";"91"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.902"
"2025";"Trimestre 2";"Hurtos";"9.030"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/galicia/301"
"Titulo":"Estadística de crimen en Galicia﻿ "
"Subtitulo":""
