"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"1"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"270"
"2023";"Trimestre 1";"Hurtos";"3.676"
"2023";"Trimestre 1";"Tráfico de drogas";"70"
"2023";"Trimestre 1";"Sustracciones de vehículos";"377"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 1";"Total";"15.552"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"631"
"2023";"Trimestre 1";"Agresión sexual con penetración";"27"
"2023";"Trimestre 2";"Secuestro";"3"
"2023";"Trimestre 2";"Tráfico de drogas";"294"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"694"
"2023";"Trimestre 2";"Sustracciones de vehículos";"800"
"2023";"Trimestre 2";"Total";"35.212"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.264"
"2023";"Trimestre 2";"Agresión sexual con penetración";"66"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2023";"Trimestre 2";"Hurtos";"9.722"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"1.213"
"2023";"Trimestre 3";"Sustracciones de vehículos";"1.396"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.968"
"2023";"Trimestre 3";"Hurtos";"18.495"
"2023";"Trimestre 3";"Tráfico de drogas";"616"
"2023";"Trimestre 3";"Agresión sexual con penetración";"126"
"2023";"Trimestre 3";"Secuestro";"3"
"2023";"Trimestre 3";"Total";"60.230"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"4"
"2023";"Trimestre 4";"Tráfico de drogas";"776"
"2023";"Trimestre 4";"Agresión sexual con penetración";"156"
"2023";"Trimestre 4";"Sustracciones de vehículos";"1.832"
"2023";"Trimestre 4";"Total";"78.509"
"2023";"Trimestre 4";"Hurtos";"23.009"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"1.519"
"2023";"Trimestre 4";"Secuestro";"4"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.688"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2024";"Trimestre 1";"Agresión sexual con penetración";"22"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2024";"Trimestre 1";"Hurtos";"3.400"
"2024";"Trimestre 1";"Total";"16.380"
"2024";"Trimestre 1";"Sustracciones de vehículos";"333"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"675"
"2024";"Trimestre 1";"Secuestro";"2"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"248"
"2024";"Trimestre 1";"Tráfico de drogas";"132"
"2024";"Trimestre 2";"Agresión sexual con penetración";"68"
"2024";"Trimestre 2";"Sustracciones de vehículos";"766"
"2024";"Trimestre 2";"Secuestro";"3"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.268"
"2024";"Trimestre 2";"Tráfico de drogas";"368"
"2024";"Trimestre 2";"Hurtos";"10.203"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"615"
"2024";"Trimestre 2";"Total";"37.145"
"2024";"Trimestre 4";"Agresión sexual con penetración";"164"
"2024";"Trimestre 4";"Total";"80.365"
"2024";"Trimestre 4";"Tráfico de drogas";"760"
"2024";"Trimestre 4";"Sustracciones de vehículos";"1.729"
"2024";"Trimestre 4";"Secuestro";"6"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"1.432"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"7"
"2024";"Trimestre 4";"Hurtos";"24.310"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.829"
"2025";"Trimestre 1";"Total";"15.886"
"2025";"Trimestre 1";"Agresión sexual con penetración";"24"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"90"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"244"
"2025";"Trimestre 1";"Sustracciones de vehículos";"319"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"613"
"2025";"Trimestre 1";"Hurtos";"3.720"
"2025";"Trimestre 2";"Secuestro";"1"
"2025";"Trimestre 2";"Tráfico de drogas";"345"
"2025";"Trimestre 2";"Total";"37.543"
"2025";"Trimestre 2";"Sustracciones de vehículos";"650"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"653"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2025";"Trimestre 2";"Agresión sexual con penetración";"58"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.178"
"2025";"Trimestre 2";"Hurtos";"10.854"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/islas-baleares/302"
"Titulo":"Estadística de crimen en Islas Baleares﻿ "
"Subtitulo":""
