"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"1"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"28"
"2023";"Trimestre 1";"Hurtos";"740"
"2023";"Trimestre 1";"Tráfico de drogas";"25"
"2023";"Trimestre 1";"Sustracciones de vehículos";"13"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 1";"Total";"3.019"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"189"
"2023";"Trimestre 1";"Agresión sexual con penetración";"5"
"2023";"Trimestre 2";"Secuestro";"1"
"2023";"Trimestre 2";"Tráfico de drogas";"51"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"61"
"2023";"Trimestre 2";"Sustracciones de vehículos";"32"
"2023";"Trimestre 2";"Total";"5.970"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"343"
"2023";"Trimestre 2";"Agresión sexual con penetración";"9"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2023";"Trimestre 2";"Hurtos";"1.441"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"121"
"2023";"Trimestre 3";"Sustracciones de vehículos";"48"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"553"
"2023";"Trimestre 3";"Hurtos";"2.266"
"2023";"Trimestre 3";"Tráfico de drogas";"72"
"2023";"Trimestre 3";"Agresión sexual con penetración";"13"
"2023";"Trimestre 3";"Secuestro";"1"
"2023";"Trimestre 3";"Total";"9.167"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 4";"Tráfico de drogas";"93"
"2023";"Trimestre 4";"Agresión sexual con penetración";"18"
"2023";"Trimestre 4";"Sustracciones de vehículos";"68"
"2023";"Trimestre 4";"Total";"12.152"
"2023";"Trimestre 4";"Hurtos";"2.974"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"150"
"2023";"Trimestre 4";"Secuestro";"2"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"727"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 1";"Agresión sexual con penetración";"5"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2024";"Trimestre 1";"Hurtos";"655"
"2024";"Trimestre 1";"Total";"2.829"
"2024";"Trimestre 1";"Sustracciones de vehículos";"21"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"205"
"2024";"Trimestre 1";"Secuestro";"0"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"27"
"2024";"Trimestre 1";"Tráfico de drogas";"12"
"2024";"Trimestre 2";"Agresión sexual con penetración";"6"
"2024";"Trimestre 2";"Sustracciones de vehículos";"33"
"2024";"Trimestre 2";"Secuestro";"0"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"382"
"2024";"Trimestre 2";"Tráfico de drogas";"26"
"2024";"Trimestre 2";"Hurtos";"1.281"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"54"
"2024";"Trimestre 2";"Total";"5.739"
"2024";"Trimestre 4";"Agresión sexual con penetración";"15"
"2024";"Trimestre 4";"Total";"11.965"
"2024";"Trimestre 4";"Tráfico de drogas";"81"
"2024";"Trimestre 4";"Sustracciones de vehículos";"71"
"2024";"Trimestre 4";"Secuestro";"0"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"123"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"6"
"2024";"Trimestre 4";"Hurtos";"2.727"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"751"
"2025";"Trimestre 1";"Total";"2.854"
"2025";"Trimestre 1";"Agresión sexual con penetración";"4"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"24"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"30"
"2025";"Trimestre 1";"Sustracciones de vehículos";"23"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"158"
"2025";"Trimestre 1";"Hurtos";"571"
"2025";"Trimestre 2";"Secuestro";"0"
"2025";"Trimestre 2";"Tráfico de drogas";"48"
"2025";"Trimestre 2";"Total";"5.767"
"2025";"Trimestre 2";"Sustracciones de vehículos";"45"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"60"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 2";"Agresión sexual con penetración";"5"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"301"
"2025";"Trimestre 2";"Hurtos";"1.119"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/rioja/303"
"Titulo":"Estadística de crimen en La Rioja﻿ "
"Subtitulo":""
