"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2021";"Trimestre 1";"Hurtos";"173"
"2021";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2021";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"15"
"2021";"Trimestre 1";"Secuestro";"0"
"2021";"Trimestre 1";"Tráfico de drogas";"118"
"2021";"Trimestre 1";"Agresión sexual con penetración";"0"
"2021";"Trimestre 1";"Total";"1.092"
"2021";"Trimestre 1";"Robos con violencia e intimidación";"54"
"2021";"Trimestre 1";"Sustracciones de vehículos";"8"
"2021";"Trimestre 2";"Agresión sexual con penetración";"0"
"2021";"Trimestre 2";"Tráfico de drogas";"170"
"2021";"Trimestre 2";"Hurtos";"306"
"2021";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"28"
"2021";"Trimestre 2";"Total";"2.026"
"2021";"Trimestre 2";"Sustracciones de vehículos";"14"
"2021";"Trimestre 2";"Robos con violencia e intimidación";"101"
"2021";"Trimestre 2";"Secuestro";"0"
"2021";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2021";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"45"
"2021";"Trimestre 3";"Robos con violencia e intimidación";"146"
"2021";"Trimestre 3";"Hurtos";"431"
"2021";"Trimestre 3";"Tráfico de drogas";"203"
"2021";"Trimestre 3";"Agresión sexual con penetración";"2"
"2021";"Trimestre 3";"Total";"3.041"
"2021";"Trimestre 3";"Sustracciones de vehículos";"22"
"2021";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"0"
"2021";"Trimestre 3";"Secuestro";"0"
"2021";"Trimestre 4";"Robos con violencia e intimidación";"201"
"2021";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"70"
"2021";"Trimestre 4";"Hurtos";"576"
"2021";"Trimestre 4";"Secuestro";"0"
"2021";"Trimestre 4";"Sustracciones de vehículos";"35"
"2021";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"0"
"2021";"Trimestre 4";"Agresión sexual con penetración";"2"
"2021";"Trimestre 4";"Total";"4.116"
"2021";"Trimestre 4";"Tráfico de drogas";"230"
"2022";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2022";"Trimestre 1";"Secuestro";"0"
"2022";"Trimestre 1";"Total";"982"
"2022";"Trimestre 1";"Sustracciones de vehículos";"12"
"2022";"Trimestre 1";"Tráfico de drogas";"21"
"2022";"Trimestre 1";"Hurtos";"139"
"2022";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"13"
"2022";"Trimestre 1";"Agresión sexual con penetración";"0"
"2022";"Trimestre 1";"Robos con violencia e intimidación";"26"
"2022";"Trimestre 2";"Tráfico de drogas";"32"
"2022";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2022";"Trimestre 2";"Hurtos";"346"
"2022";"Trimestre 2";"Agresión sexual con penetración";"2"
"2022";"Trimestre 2";"Total";"2.104"
"2022";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"34"
"2022";"Trimestre 3";"Tráfico de drogas";"43"
"2022";"Trimestre 3";"Robos con violencia e intimidación";"78"
"2022";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"2"
"2022";"Trimestre 3";"Secuestro";"0"
"2022";"Trimestre 3";"Sustracciones de vehículos";"48"
"2022";"Trimestre 3";"Agresión sexual con penetración";"1"
"2022";"Trimestre 3";"Total";"2.915"
"2022";"Trimestre 3";"Hurtos";"476"
"2022";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"48"
"2022";"Trimestre 4";"Secuestro";"0"
"2022";"Trimestre 4";"Agresión sexual con penetración";"3"
"2022";"Trimestre 4";"Sustracciones de vehículos";"80"
"2022";"Trimestre 4";"Hurtos";"732"
"2022";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"86"
"2022";"Trimestre 4";"Robos con violencia e intimidación";"122"
"2022";"Trimestre 4";"Tráfico de drogas";"67"
"2022";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"2"
"2023";"Trimestre 2";"Hurtos";"379"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"55"
"2023";"Trimestre 2";"Agresión sexual con penetración";"2"
"2023";"Trimestre 2";"Tráfico de drogas";"23"
"2023";"Trimestre 2";"Total";"2.077"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/melilla/305"
"Titulo":"Estadística de crimen en Melilla﻿ "
"Subtitulo":""
