"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"1"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"435"
"2023";"Trimestre 1";"Hurtos";"7.950"
"2023";"Trimestre 1";"Tráfico de drogas";"169"
"2023";"Trimestre 1";"Sustracciones de vehículos";"155"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2023";"Trimestre 1";"Total";"26.412"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.754"
"2023";"Trimestre 1";"Agresión sexual con penetración";"54"
"2023";"Trimestre 2";"Secuestro";"4"
"2023";"Trimestre 2";"Tráfico de drogas";"309"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"922"
"2023";"Trimestre 2";"Sustracciones de vehículos";"345"
"2023";"Trimestre 2";"Total";"52.453"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.116"
"2023";"Trimestre 2";"Agresión sexual con penetración";"125"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"4"
"2023";"Trimestre 2";"Hurtos";"14.753"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"1.562"
"2023";"Trimestre 3";"Sustracciones de vehículos";"550"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.675"
"2023";"Trimestre 3";"Hurtos";"22.531"
"2023";"Trimestre 3";"Tráfico de drogas";"464"
"2023";"Trimestre 3";"Agresión sexual con penetración";"175"
"2023";"Trimestre 3";"Secuestro";"5"
"2023";"Trimestre 3";"Total";"79.747"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"5"
"2023";"Trimestre 4";"Tráfico de drogas";"597"
"2023";"Trimestre 4";"Agresión sexual con penetración";"231"
"2023";"Trimestre 4";"Sustracciones de vehículos";"751"
"2023";"Trimestre 4";"Total";"107.823"
"2023";"Trimestre 4";"Hurtos";"30.129"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"2.107"
"2023";"Trimestre 4";"Secuestro";"9"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.411"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"6"
"2024";"Trimestre 1";"Agresión sexual con penetración";"75"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2024";"Trimestre 1";"Hurtos";"7.412"
"2024";"Trimestre 1";"Total";"26.899"
"2024";"Trimestre 1";"Sustracciones de vehículos";"162"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.328"
"2024";"Trimestre 1";"Secuestro";"1"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"440"
"2024";"Trimestre 1";"Tráfico de drogas";"194"
"2024";"Trimestre 2";"Agresión sexual con penetración";"158"
"2024";"Trimestre 2";"Sustracciones de vehículos";"328"
"2024";"Trimestre 2";"Secuestro";"1"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.678"
"2024";"Trimestre 2";"Tráfico de drogas";"412"
"2024";"Trimestre 2";"Hurtos";"14.947"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"1.045"
"2024";"Trimestre 2";"Total";"53.824"
"2024";"Trimestre 4";"Agresión sexual con penetración";"302"
"2024";"Trimestre 4";"Total";"108.163"
"2024";"Trimestre 4";"Tráfico de drogas";"859"
"2024";"Trimestre 4";"Sustracciones de vehículos";"675"
"2024";"Trimestre 4";"Secuestro";"3"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"2.165"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"7"
"2024";"Trimestre 4";"Hurtos";"31.134"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.906"
"2025";"Trimestre 1";"Total";"26.403"
"2025";"Trimestre 1";"Agresión sexual con penetración";"80"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 1";"Secuestro";"1"
"2025";"Trimestre 1";"Tráfico de drogas";"195"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"399"
"2025";"Trimestre 1";"Sustracciones de vehículos";"173"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.499"
"2025";"Trimestre 1";"Hurtos";"7.375"
"2025";"Trimestre 2";"Secuestro";"1"
"2025";"Trimestre 2";"Tráfico de drogas";"386"
"2025";"Trimestre 2";"Total";"53.624"
"2025";"Trimestre 2";"Sustracciones de vehículos";"375"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"961"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2025";"Trimestre 2";"Agresión sexual con penetración";"158"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.840"
"2025";"Trimestre 2";"Hurtos";"15.077"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/pais-vasco/308"
"Titulo":"Estadística de crimen en País Vasco﻿ "
"Subtitulo":""
