"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"79"
"2023";"Trimestre 1";"Hurtos";"1.765"
"2023";"Trimestre 1";"Tráfico de drogas";"47"
"2023";"Trimestre 1";"Sustracciones de vehículos";"68"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2023";"Trimestre 1";"Total";"7.946"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"384"
"2023";"Trimestre 1";"Agresión sexual con penetración";"17"
"2023";"Trimestre 2";"Secuestro";"0"
"2023";"Trimestre 2";"Tráfico de drogas";"99"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"172"
"2023";"Trimestre 2";"Sustracciones de vehículos";"132"
"2023";"Trimestre 2";"Total";"15.846"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"704"
"2023";"Trimestre 2";"Agresión sexual con penetración";"32"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2023";"Trimestre 2";"Hurtos";"3.567"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"293"
"2023";"Trimestre 3";"Sustracciones de vehículos";"200"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.096"
"2023";"Trimestre 3";"Hurtos";"5.731"
"2023";"Trimestre 3";"Tráfico de drogas";"145"
"2023";"Trimestre 3";"Agresión sexual con penetración";"49"
"2023";"Trimestre 3";"Secuestro";"0"
"2023";"Trimestre 3";"Total";"25.058"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"5"
"2023";"Trimestre 4";"Tráfico de drogas";"190"
"2023";"Trimestre 4";"Agresión sexual con penetración";"67"
"2023";"Trimestre 4";"Sustracciones de vehículos";"259"
"2023";"Trimestre 4";"Total";"33.888"
"2023";"Trimestre 4";"Hurtos";"7.681"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"424"
"2023";"Trimestre 4";"Secuestro";"0"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.574"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"6"
"2024";"Trimestre 1";"Agresión sexual con penetración";"14"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2024";"Trimestre 1";"Hurtos";"1.891"
"2024";"Trimestre 1";"Total";"8.322"
"2024";"Trimestre 1";"Sustracciones de vehículos";"52"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"351"
"2024";"Trimestre 1";"Secuestro";"1"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"78"
"2024";"Trimestre 1";"Tráfico de drogas";"42"
"2024";"Trimestre 2";"Agresión sexual con penetración";"32"
"2024";"Trimestre 2";"Sustracciones de vehículos";"105"
"2024";"Trimestre 2";"Secuestro";"2"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"662"
"2024";"Trimestre 2";"Tráfico de drogas";"87"
"2024";"Trimestre 2";"Hurtos";"3.794"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"160"
"2024";"Trimestre 2";"Total";"16.947"
"2024";"Trimestre 4";"Agresión sexual con penetración";"67"
"2024";"Trimestre 4";"Total";"34.435"
"2024";"Trimestre 4";"Tráfico de drogas";"174"
"2024";"Trimestre 4";"Sustracciones de vehículos";"205"
"2024";"Trimestre 4";"Secuestro";"4"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"349"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"7"
"2024";"Trimestre 4";"Hurtos";"7.727"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.311"
"2025";"Trimestre 1";"Total";"8.557"
"2025";"Trimestre 1";"Agresión sexual con penetración";"23"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2025";"Trimestre 1";"Secuestro";"0"
"2025";"Trimestre 1";"Tráfico de drogas";"42"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"129"
"2025";"Trimestre 1";"Sustracciones de vehículos";"37"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"322"
"2025";"Trimestre 1";"Hurtos";"1.935"
"2025";"Trimestre 2";"Secuestro";"1"
"2025";"Trimestre 2";"Tráfico de drogas";"83"
"2025";"Trimestre 2";"Total";"17.409"
"2025";"Trimestre 2";"Sustracciones de vehículos";"98"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"242"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"4"
"2025";"Trimestre 2";"Agresión sexual con penetración";"36"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"640"
"2025";"Trimestre 2";"Hurtos";"3.702"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/asturias/292"
"Titulo":"Estadística de crimen en Principado de Asturias﻿ "
"Subtitulo":""
