"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2023";"Trimestre 1";"Secuestro";"0"
"2023";"Trimestre 1";"Robos con violencia e intimidación";"519"
"2023";"Trimestre 1";"Hurtos";"4.225"
"2023";"Trimestre 1";"Tráfico de drogas";"143"
"2023";"Trimestre 1";"Sustracciones de vehículos";"235"
"2023";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2023";"Trimestre 1";"Total";"18.124"
"2023";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.589"
"2023";"Trimestre 1";"Agresión sexual con penetración";"17"
"2023";"Trimestre 2";"Secuestro";"3"
"2023";"Trimestre 2";"Tráfico de drogas";"320"
"2023";"Trimestre 2";"Robos con violencia e intimidación";"1.015"
"2023";"Trimestre 2";"Sustracciones de vehículos";"448"
"2023";"Trimestre 2";"Total";"36.084"
"2023";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.744"
"2023";"Trimestre 2";"Agresión sexual con penetración";"52"
"2023";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"10"
"2023";"Trimestre 2";"Hurtos";"8.311"
"2023";"Trimestre 3";"Robos con violencia e intimidación";"1.558"
"2023";"Trimestre 3";"Sustracciones de vehículos";"678"
"2023";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.963"
"2023";"Trimestre 3";"Hurtos";"12.579"
"2023";"Trimestre 3";"Tráfico de drogas";"444"
"2023";"Trimestre 3";"Agresión sexual con penetración";"82"
"2023";"Trimestre 3";"Secuestro";"4"
"2023";"Trimestre 3";"Total";"55.080"
"2023";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"13"
"2023";"Trimestre 4";"Tráfico de drogas";"580"
"2023";"Trimestre 4";"Agresión sexual con penetración";"110"
"2023";"Trimestre 4";"Sustracciones de vehículos";"970"
"2023";"Trimestre 4";"Total";"74.194"
"2023";"Trimestre 4";"Hurtos";"16.564"
"2023";"Trimestre 4";"Robos con violencia e intimidación";"2.071"
"2023";"Trimestre 4";"Secuestro";"4"
"2023";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.324"
"2023";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"15"
"2024";"Trimestre 1";"Agresión sexual con penetración";"26"
"2024";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2024";"Trimestre 1";"Hurtos";"3.933"
"2024";"Trimestre 1";"Total";"18.093"
"2024";"Trimestre 1";"Sustracciones de vehículos";"216"
"2024";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.369"
"2024";"Trimestre 1";"Secuestro";"1"
"2024";"Trimestre 1";"Robos con violencia e intimidación";"488"
"2024";"Trimestre 1";"Tráfico de drogas";"131"
"2024";"Trimestre 2";"Agresión sexual con penetración";"60"
"2024";"Trimestre 2";"Sustracciones de vehículos";"463"
"2024";"Trimestre 2";"Secuestro";"3"
"2024";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.593"
"2024";"Trimestre 2";"Tráfico de drogas";"299"
"2024";"Trimestre 2";"Hurtos";"8.172"
"2024";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"9"
"2024";"Trimestre 2";"Robos con violencia e intimidación";"1.033"
"2024";"Trimestre 2";"Total";"37.323"
"2024";"Trimestre 4";"Agresión sexual con penetración";"134"
"2024";"Trimestre 4";"Total";"74.549"
"2024";"Trimestre 4";"Tráfico de drogas";"566"
"2024";"Trimestre 4";"Sustracciones de vehículos";"934"
"2024";"Trimestre 4";"Secuestro";"3"
"2024";"Trimestre 4";"Robos con violencia e intimidación";"2.156"
"2024";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"14"
"2024";"Trimestre 4";"Hurtos";"16.201"
"2024";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.128"
"2025";"Trimestre 1";"Total";"17.390"
"2025";"Trimestre 1";"Agresión sexual con penetración";"35"
"2025";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2025";"Trimestre 1";"Secuestro";"3"
"2025";"Trimestre 1";"Tráfico de drogas";"135"
"2025";"Trimestre 1";"Robos con violencia e intimidación";"468"
"2025";"Trimestre 1";"Sustracciones de vehículos";"203"
"2025";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.101"
"2025";"Trimestre 1";"Hurtos";"3.937"
"2025";"Trimestre 2";"Secuestro";"3"
"2025";"Trimestre 2";"Tráfico de drogas";"307"
"2025";"Trimestre 2";"Total";"36.287"
"2025";"Trimestre 2";"Sustracciones de vehículos";"409"
"2025";"Trimestre 2";"Robos con violencia e intimidación";"1.068"
"2025";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"12"
"2025";"Trimestre 2";"Agresión sexual con penetración";"75"
"2025";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.210"
"2025";"Trimestre 2";"Hurtos";"7.746"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/murcia/306"
"Titulo":"Estadística de crimen en Región de Murcia﻿ "
"Subtitulo":""
